,timepoint,centroid-0,centroid-1,centroid-2,size,min_intensity,max_intensity,mean_intensity,var_intensity,mean_background_intensity,SNR
2039,4.0,0.0,20.0,36.0,8.485281374238571,0.0,0.41136932373046875,0.0307940673828125,0.005132472279052148,0.006860721542174558,4.488459004423037
2040,4.0,0.0,69.0,76.0,8.485281374238571,0.0,0.3809776306152344,0.03176896837022569,0.005217384006023224,0.0009617116077836737,33.03377864330797
2041,4.0,0.0,28.0,0.0,8.485281374238571,0.0,0.3908729553222656,0.02358513824210679,0.004444432030596598,0.012331379161161535,1.9126115525171496
2042,4.0,89.0,0.0,41.0,8.485281374238571,0.0,0.46213531494140625,0.0200053758857664,0.004694628878361414,0.0007622438318589154,26.245375888419414
2043,4.0,99.0,44.0,92.0,8.485281374238571,0.0,0.35516357421875,0.022334428267045455,0.0034605681455755714,0.013363936008551182,1.671246274507325
2044,4.0,0.0,18.0,8.0,8.485281374238571,0.0,0.3971748352050781,0.0186489020453559,0.0038714602278809946,0.008143882441326855,2.2899277070504347
2045,4.0,60.0,99.0,99.0,8.485281374238571,0.0,0.38047027587890625,0.01740411611703726,0.0036269915557449917,4.384709500718391e-08,396927.46153846156
2046,4.0,0.0,99.0,6.0,8.485281374238571,0.0,0.3806419372558594,0.02281192340682038,0.0034600334017643587,0.004311733834018791,5.290661317458531
2047,4.0,5.0,0.0,49.0,8.485281374238571,0.0,0.3362770080566406,0.01787059563250581,0.0022748476001098325,0.0002706639906939338,66.02502086328076
2048,4.0,9.0,99.0,42.0,8.485281374238571,0.0,0.3532829284667969,0.016826818797213972,0.0029428770819663603,0.002657968857709099,6.330705774979242
2049,4.0,19.0,34.0,0.0,8.485281374238571,0.0,0.27503204345703125,0.016198907016722625,0.0021708272902506683,0.0018590029548196231,8.713760768763484
2050,4.0,82.0,99.0,49.0,8.485281374238571,0.0,0.3527107238769531,0.01466899272824122,0.0025992409650780683,0.0002088434555951287,70.2391783665898
2051,4.0,3.0,99.0,96.0,8.485281374238571,0.0,0.276031494140625,0.03429710472023094,0.004543102897031444,5.175719908134422e-07,66265.38013838013
2052,4.0,99.0,69.0,15.0,8.485281374238571,0.0,0.2755165100097656,0.015554911295572916,0.002166544207956435,0.0019028913372326043,8.174356039790792
2053,4.0,52.0,89.0,0.0,8.485281374238571,0.0,0.3024330139160156,0.019208640106453383,0.0027450624600882283,0.000946031249124944,20.30444567684303
